Row Labels,Count of Gini index,Count of Access to electricity (% of population),"Count of Access to electricity, rural (% of rural population)","Count of Access to electricity, urban (% of urban population)",Count of Adjusted net national income per capita (annual % growth),"Count of Communications, computer, etc. (% of service imports, BoP)","Count of Compulsory education, duration (years)","Count of Computer, communications and other services (% of commercial service imports)",Count of Cost of business start-up procedures (% of GNI per capita),"Count of Current education expenditure, total (% of total expenditure in public institutions)","Count of Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Count of Employment to population ratio, ages 15-24, total (%) (national estimate)",Count of Fixed broadband subscriptions,Count of GDP (current US$),Count of Individuals using the Internet (% of population),"Count of International tourism, expenditures (current US$)","Count of Labor force participation rate for ages 15-24, total (%) (national estimate)",Count of Labor force with advanced education (% of total working-age population with advanced education),"Count of Labor force, female (% of total labor force)","Count of School enrollment, tertiary (% gross)",Count of Technicians in R&D (per million people),Count of Urban population (% of total population),Count of Urban population growth (annual %),Count of Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Count of Fixed broadband subscriptions (per 100 people),"Count of Individuals using the Internet, female (% of female population)","Count of Individuals using the Internet, male (% of male population)",Count of Mobile cellular subscriptions,Count of Mobile cellular subscriptions (per 100 people)
Comoros,1,12,12,12,12,11,12,11,12,1,1,1,12,12,11,11,1,1,12,6,,12,12,1,12,,,12,12
"Congo, Dem. Rep.",1,12,5,12,12,12,12,12,12,2,1,1,8,12,12,11,1,1,12,6,1,12,12,1,8,,,12,12
"Congo, Rep.",1,12,12,12,12,10,12,10,12,,,1,6,12,10,9,1,1,12,6,,12,12,1,6,,,12,12
Costa Rica,12,12,12,12,12,12,12,12,12,4,,12,12,12,12,12,12,12,12,9,,12,12,12,12,7,7,12,12
Cote d'Ivoire,3,12,12,12,11,12,12,12,12,12,4,5,10,12,12,12,5,5,12,10,,12,12,3,10,3,3,12,12
Croatia,11,12,12,12,12,12,12,12,12,10,9,12,12,12,12,12,12,12,12,12,10,12,12,11,12,12,12,12,12
Cuba,,12,12,12,12,,12,,,3,1,,12,12,12,,1,2,12,12,,12,12,,12,3,3,12,12
Curacao,,12,12,12,,9,12,9,,1,1,5,9,9,2,12,5,1,,10,,12,12,,9,1,1,11,11
Cyprus,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12
Czechia,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12
Denmark,12,12,12,12,12,12,12,12,12,11,9,12,12,12,12,11,12,12,12,12,3,12,12,12,12,12,12,12,12
Djibouti,3,12,11,12,6,12,12,12,12,,1,1,12,12,12,5,1,1,12,4,,12,12,3,12,1,1,12,12
Dominica,,12,,,,12,12,12,12,1,,,12,12,11,6,,,,,,12,12,,12,,,12,12
Dominican Republic,12,12,12,12,12,12,12,12,12,,4,12,12,12,12,12,12,12,12,10,,12,12,12,12,2,2,12,12
Ecuador,12,12,12,12,12,12,12,12,12,1,10,12,12,12,12,12,12,12,12,6,7,12,12,12,12,9,9,12,12
"Egypt, Arab Rep.",6,12,12,12,12,12,12,12,12,,10,12,12,12,12,12,12,11,12,11,11,12,12,6,12,7,7,12,12
El Salvador,12,12,12,12,12,12,12,12,12,8,,11,12,12,12,12,11,10,12,12,3,12,12,12,12,10,10,12,12
Equatorial Guinea,,12,12,12,12,,12,,12,,,,12,12,11,,,,12,2,,12,12,,12,,,12,12
Eritrea,,12,12,12,4,,10,,12,,,,11,4,12,,,,12,5,,12,12,,11,,,11,11
Estonia,12,12,12,12,12,12,12,12,12,7,10,12,12,12,12,8,12,12,12,12,10,12,12,12,12,12,12,12,12
Eswatini,2,12,12,12,12,12,10,12,12,1,1,1,12,12,12,12,1,1,12,2,1,12,12,2,12,,,12,12
Ethiopia,2,12,12,12,8,12,12,12,12,6,2,1,11,12,12,5,1,1,12,6,3,12,12,2,11,,,11,11
Faroe Islands,,12,12,12,,4,,4,,,,,12,12,10,,,,,,,12,12,,12,,,12,12
Fiji,3,12,12,12,,12,,12,12,1,3,3,12,12,12,12,3,3,12,6,,12,12,3,12,,,12,12
Finland,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,,12,12,12,12,12,12,12,12
France,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12
French Polynesia,,12,12,12,,9,,9,,,,1,12,12,10,9,1,,12,,,12,12,,12,,,12,12
Gabon,1,12,11,12,12,8,12,8,12,,,1,12,12,12,8,1,,12,1,,12,12,1,12,,,12,12
"Gambia, The",2,12,10,12,12,12,12,12,12,5,2,2,12,12,12,12,2,2,12,3,4,12,12,2,12,,,12,12
Georgia,12,12,12,12,9,12,12,12,12,,10,12,12,12,12,12,12,9,12,12,6,12,12,12,12,7,7,12,12
Germany,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,7,10,12,12,12,12,12,12,12,12
Ghana,2,12,12,12,12,12,12,12,12,6,4,4,12,12,12,12,4,4,12,11,2,12,12,2,12,1,1,12,12
Gibraltar,,12,7,12,,,12,,,2,,,10,,6,,,,,,,12,12,,10,,,11,11
Greece,12,12,12,12,12,12,12,12,12,5,11,12,12,12,12,12,12,12,12,9,1,12,12,12,12,12,12,12,12
Greenland,,12,12,12,,,,,,,,,11,12,10,,,,,,,12,12,,11,,,11,11
Grenada,1,12,,,,12,12,12,12,,2,2,12,12,12,6,2,2,,5,,12,12,1,12,,,12,12
Guam,,12,12,12,,,2,,,,,2,6,12,10,,2,,12,,,12,12,,6,,,,
Guatemala,1,12,12,12,12,12,12,12,12,11,4,10,10,12,12,12,10,10,12,11,11,12,12,1,10,1,1,12,12
Guinea,2,12,12,12,12,12,12,12,12,11,4,1,10,12,12,12,1,1,12,12,,12,12,2,10,1,1,12,12
