Country Name,Attribute,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Communications, computer, etc. (% of service imports, BoP)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Fixed broadband subscriptions,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net (BoP, current US$)",GDP (current US$),Gini index,GNI (current US$),GNI (constant 2015 US$),Gross national expenditure (% of GDP),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, total (%) (national estimate)",Labor force with advanced education (% of total working-age population with advanced education),Labor force with basic education (% of total working-age population with basic education),"Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, total (% of relevant age group)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Secure Internet servers,Secure Internet servers (per 1 million people),Urban population (% of total population),Urban population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Fixed broadband subscriptions (per 100 people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Column1,Data from database: World Development Indicators,Last Updated: 11/13/2024
Country Name,2013 [YR2013],100,100,100,46.68,18.7,46.11,,,92.87,96.75,3754.27,4.39,955000,1.61,-986560156.3,59589170668,32,58464927785,48975724912,101.82,66.75,29.87,72.86,23.92,45.8,,97.76,1.02,66.71,1689,396.88,55.71,0.08,0.7,0.4,22.5,59.89,74.17,4720000,109.57,,,
Country Name,2014 [YR2014],100,100,100,49.1,18.59,48.54,,,91.23,96.34,3714.38,5.22,984000,5.35,-936761001.4,59489433515,32.1,58628924354,49025427221,100.14,68.57,33.63,74.3,22.75,46.25,,97.71,1.02,68.64,2122,500.66,55.92,-0.02,1,0.5,23.33,65.55,71.69,4460000,104.14,,,
Country Name,2015 [YR2015],100,100,100,51.99,20.92,51.56,,,90.11,95.61,,5.2,986000,0.07,-219175590.6,51011170112,31.1,51286961047,51286961047,99.49,69.85,33.19,73.16,22.8,46.3,,101.08,1.03,68.44,2672,635.65,56.16,-0.41,0.6,0.3,23.57,65.41,74.42,4420000,103.78,,,
Country Name,2016 [YR2016],100,100,100,48.42,20.83,47.91,,,,,,5.19,1040000,0.83,-2224818006,52740059263,30.9,51818349524,51942145518,98.47,72.7,37.24,71.68,21.05,46.04,,97.51,1.03,69.59,7199,1724.58,56.4,-0.26,0.6,0.3,25.23,68.74,76.79,4410000,104.51,,,
Country Name,2017 [YR2017],100,100,100,45.36,20.29,44.93,,,91.35,95.81,,4.96,1100000,0.8,-1290846445,56322449844,30.4,56139192333,54472286613,98.93,67.1,35.68,72.48,18.94,45.86,,98.41,1.03,71.38,60251,14607.96,56.67,-0.73,0.5,0.3,26.87,60.52,74.17,4320000,102.94,,,
Country Name,2018 [YR2018],100,100,100,45.85,21.59,45.4,,,93.72,95.41,,4.72,1130000,2.12,-1019694272,61861145806,29.7,61511331814,55959976036,100.24,75.29,33.49,72.24,17.8,46.12,,100.78,1.03,72.86,79937,19554.81,56.95,-0.4,0.4,0.2,28.02,73.33,77.33,4390000,105.48,,,
Country Name,2019 [YR2019],100,100,100,45.54,22.12,45.21,,,88.64,93.07,,4.92,1150000,6.37,-3860244855,61867157679,28.9,61696451857,58056588677,99.76,79.08,33.2,72.06,17.79,45.8,,99.43,1.04,74.05,92507,22755.53,57.24,-0.04,0.3,0.2,28.97,76.15,82.17,4400000,106.66,,,
Country Name,2008 [YR2008],97.3,89.7,99.7,,,,98.62,96.43,98.5,97.89,1318.75,2.11,2250,,,56302129630,,55325092593,71879511678,103.78,12.94,38.46,,,38.19,,91.93,0.99,117.72,,,76.41,0.18,,,0.02,,,331736,2.94,,,
Country Name,2009 [YR2009],97.6,90.4,99.8,,,,99.05,97.63,98.68,98.47,1328.08,2.04,2880,,,57481481481,,55960185185,72277471390,97.99,14.33,,86.39,37.18,38.4,,97.27,0.99,114.49,,,76.51,0.18,,,0.03,,,621156,5.51,,,
Country Name,2010 [YR2010],97.8,91.1,99.8,,,,99.54,98.52,99.18,99.1,1295.7,2.09,3710,,,59562962963,,58237037037,74212419538,95.15,15.9,,86.23,35.66,38.36,,95.37,0.99,94.17,1,0.09,76.6,0.18,,,0.03,,,1000000,8.88,,,
Country Name,2011 [YR2011],98,91.8,99.9,,,,,,,,1325.2,3.29,4420,,,68990000000,,67926000000,76843248759,96.75,16.02,,,,37.76,,94.82,0.99,79.02,0,0,76.69,0.19,,,0.04,,,1320000,11.64,,,
Country Name,2012 [YR2012],98.3,92.7,100,,,,,,,,1372.85,3.71,5010,,,73141000000,,72146000000,79280541282,94.84,21.2,,,,37.89,100,92.5,1,61.73,0,0,76.78,0.21,,,0.04,,,1680000,14.87,,,
Country Name,2013 [YR2013],98.5,93.6,100,,,,,,,,1430.63,3.94,5360,,,77148000000,,76226000000,81593239073,96.12,27.93,,,,37.99,,91.09,0.99,48,,,76.83,0.17,,,0.05,29.76,25.09,2000000,17.63,,,
Country Name,2014 [YR2014],98.7,94.5,100,,,,,,,,1447.67,4.21,7790,,,80656100000,,79602100000,82341170368,95.11,29.07,,,,37.96,,95.07,0.98,40.51,1,0.09,76.86,0.14,,,0.07,,,2530000,22.33,,,
Country Name,2015 [YR2015],99,95.5,100,,,,,,,,,4.49,8160,,,87132800000,,86014000000,86014000000,97.32,37.31,,,,38.16,,95.6,0.99,36.22,1,0.09,76.9,0.11,,,0.07,39.7,34.88,3340000,29.41,,,
Country Name,2016 [YR2016],99.2,96.4,100,,,,,,,,,4.65,14400,,,91370407864,,90086000000,86315001318,97.3,42.98,,,,38.05,,94.93,0.99,34.46,32,2.82,76.93,0.06,,,0.13,,,3990000,35.16,,,
Country Name,2017 [YR2017],99.4,97.4,100,,,,,,,,,4.74,33500,,,96850649692,,95497000000,87884424853,97.12,57.15,,,,38.03,,95.23,0.98,40.43,96,8.47,76.98,0.01,,,0.3,,,4610000,40.7,,,
Country Name,2018 [YR2018],99.6,98.3,100,,,,,,,,,4.82,98800,,,1.00E+11,,98575000000,89800589268,98.04,62.68,,,,38.05,,90.79,0.99,41.59,182,16.07,77.04,0.01,,,0.88,,,5370000,47.43,,,
Country Name,2019 [YR2019],99.8,99.5,99.9,,,,,,,,,4.86,183000,,,1.03E+11,,1.02E+11,89627732014,98.39,67.97,,,,37.9,97.65,90.5,0.99,43.99,401,35.43,77.11,-0.01,,,1.63,75.11,60.73,6040000,53.4,,,
Country Name,2008 [YR2008],99.7,100,99.6,,,,,,,,7149.71,,,,,,,,,,,,,,,,,,,,,90.16,1.12,,,,,,,,,,
Country Name,2009 [YR2009],99.7,100,99.7,,,,,,,,7423.4,,,,,,,,,,,,,,,,,,,,,90.03,0.51,,,,,,201097,128.08,,,
Country Name,2010 [YR2010],100,100,100,,,,,,,,7471.27,,,,,,,,,,,,,,,,,,25.35,0,0,89.91,1.12,,,,,,204024,128.01,,,
Country Name,2011 [YR2011],100,100,100,49.58,53.33,49.4,,,,,7379.12,,31800,2.41,-99161452.51,2930092235,,2894784972,,126.95,,30.51,,,,,,,23.14,0,0,89.78,1.28,,,20.05,,,206294,127.6,,,
Country Name,2012 [YR2012],100,100,100,49.24,49.52,49.09,,,,,5062.86,,35600,2.31,-58157541.9,3012836257,,2951663073,,121.65,,,,,,,,,23.92,2,13.15,89.65,0.69,,,22.12,,,204702,124.86,,,
Country Name,2013 [YR2013],100,100,100,49.14,45.35,48.79,100,100,100,100,4934.27,,37000,-0.05,-14446927.37,3033568603,,2951110503,,117.81,,37.24,,,,,,1,23.08,202,1313.21,89.54,1.01,,,22.68,,,203502,122.49,,,
Country Name,2014 [YR2014],100,100,100,47.09,45.77,46.95,,,,,4797.67,,38700,2.27,-25452513.97,3059406983,,2993652793,,112.49,,24.98,,,,,,,23.67,227,1455.98,89.44,1.24,,,23.43,,,192569,114.61,,,
Country Name,2015 [YR2015],100,100,100,47.03,49.22,46.69,,,,,,,40000,4.79,-127804469.3,3058779218,,3014589274,3014589274,111.33,,28.73,,,,,,,19,399,2525.64,89.35,1.22,,,24.01,,,190489,112.34,,,
Country Name,2016 [YR2016],100,100,100,44.08,48.82,43.57,,,,,,,42700,4.4,-95363128.49,3024690168,,2967651061,,113.06,61.86,,,,,,,,18.32,465,2912.37,89.27,0.97,,,25.46,,,186644,109.32,,,
Country Name,2017 [YR2017],100,100,100,43.84,50.96,43.52,,,,,,,49300,5.69,-317955307.3,3033433240,,2998237709,,120.55,68.13,,,,,,,,16.51,507,3165.29,89.2,0.24,,,29.28,68.68,67.45,187184,109.13,,,
Country Name,2018 [YR2018],100,100,100,46.11,49.99,45.52,,,,,,,51800,4.17,-96090253.4,3046364804,,3028320112,,128.78,,29.84,69.81,27.31,,,,,15.87,605,3797.01,89.15,-0.59,,,28.55,,,186390,100.9,,,
Country Name,2019 [YR2019],100,100,100,42.22,42.74,41.25,,,,,,,53300,6.72,-214376249.7,3026124134,,3038652570,,,,,,,,,,,15.28,647,4109.48,89.1,-1.25,,,28.12,,,184236,95.41,,,
Country Name,2008 [YR2008],100,100,100,20.66,14.3,22.69,85.21,87.97,73.28,85.07,4509.38,5.55,147000,44.16,2072036810,27844698989,31.7,27388166105,21239631049,112.76,42.31,41.78,85.69,46.41,43.38,,98.06,1,40.85,,,67.84,1.5,0,0,18.48,39,45.76,1020000,127.59,,,
Country Name,2009 [YR2009],100,100,100,21.68,12.57,22.94,88.1,90.76,79.52,88.07,4523.96,5.15,176000,248.12,-2995359578,26048249357,32.1,25975737408,21099221641,105.35,49.81,40.46,85.13,46.53,44.28,,99.68,1,47.7,,,67.7,1.47,0.1,0.1,21.49,46.58,53.31,977521,119.34,,,
Country Name,2010 [YR2010],100,100,100,20.28,10.44,21.17,87.72,92.3,84.39,89.04,4516.3,4.73,194000,120.28,681922528.3,25799940416,31.5,25431297057,21332230861,108.23,52.99,40.62,84.13,47.36,44.82,,99.32,1.01,48.31,307,271.76,67.55,1.46,0,0,23.15,51.31,54.83,1030000,123.13,,,
Country Name,2011 [YR2011],100,100,100,25.41,10.34,25.87,87.46,91.57,89.19,89.72,4164.75,4.53,212000,146.32,6927315537,27641551807,32.6,28366743791,22298817717,103.71,56.86,38.86,83.38,45.34,44.92,99,101.73,1,46.54,457,399.1,67.41,1.14,0,0,24.61,53.25,60.67,1090000,126.56,,,
Country Name,2012 [YR2012],100,100,100,30.3,13.21,29.37,,,,,3960.03,4.1,221000,279.36,5274931528,25047433100,34.3,24872760941,20836732319,101.79,60.69,39.18,83.99,42.18,44.7,,100.06,1.01,45.86,1710,1478.53,67.26,0.78,0,0,25.47,57.82,63.92,1110000,128.3,,,
Country Name,2013 [YR2013],100,100,100,33.6,16.09,35.08,96.92,97.57,92.6,96.48,3516.81,4.04,229000,108.37,3885092659,23959708956,37,23645295604,19344284575,98.33,65.45,38.52,83.75,40.89,44.91,,98.33,1,47.53,1122,961.47,67.14,0.71,0.1,0,26.71,63.81,67.28,1100000,128.16,,,
Country Name,2014 [YR2014],100,100,100,14.39,15.1,29.03,97.82,97.78,94.8,97.24,3548.87,3.7,244000,222.76,14314297363,23225912185,35.6,22592065861,18728462708,98.94,69.33,40.37,84.1,41.66,45.85,,99.83,1,53.1,2796,2375.54,67.03,0.7,0.1,0.1,28.76,67.72,71.09,1110000,131.15,,,
Country Name,2015 [YR2015],100,100,100,15.15,15.8,31.38,95.56,97.91,91.1,95.88,,2.32,261000,145.46,15284627941,19909269064,34,19774892629,19774892629,97.24,71.72,37.98,83.91,39.35,46.27,,96.82,1,60.1,2760,2324.64,66.95,0.74,0,0,30.73,70.18,73.34,1110000,130.98,,,
Country Name,2016 [YR2016],100,100,100,10.87,17.03,27.31,93.09,96.2,88.67,93.92,,1.81,278000,40.43,-2086206013,21046452116,32.9,20211946791,20361337765,98.05,75.9,37.22,81.93,38.67,45.96,,98.47,0.99,67.17,5325,4445.35,66.88,0.79,0,0,32.58,74.44,77.49,1130000,132.64,,,
Country Name,2017 [YR2017],100,100,100,30.76,21.42,32.46,95.62,97.16,74.36,92.29,,1.98,296000,62.78,-578113094,22946583375,31.4,22248603082,21741278395,100.34,80.74,36.81,81.77,35.97,46.07,,101.27,0.99,75.94,20484,16949.62,66.84,0.82,0,0,34.22,80.61,80.88,1180000,136.17,,,
Country Name,2018 [YR2018],100,100,100,26.84,21.53,30.14,,,,,,2.17,314000,-4.34,-6432932085,25597301191,32.7,24660896379,22823061209,98.59,84.43,39.43,81.87,36.19,45.97,,101.88,0.98,81.34,7578,6217.43,66.81,0.81,0,0,35.81,84.56,84.3,1200000,137.05,,,
Country Name,2019 [YR2019],100,100,100,34.31,28.47,35.41,95.66,98.22,95.5,96.61,,1.94,327000,203.63,-883119277.3,25947020102,31.2,24543810300,23640917479,98.97,86.06,38.95,82.88,37.31,45.64,,102.55,0.98,88.49,9854,8018.97,66.81,0.81,0.2,0.1,36.78,85.85,86.29,1240000,139.99,,,
Country Name,2008 [YR2008],100,100,100,41.93,38.95,41.55,90.23,91.98,87.84,89.96,6489.13,3.57,1760000,3.72,-2257634944,2.37E+11,26.3,2.22E+11,1.65E+11,97.84,62.97,31.14,67.39,21.51,43.35,,101.37,1.01,57.92,,,73.39,0.74,0,0,16.95,60.15,65.82,13800000,132.78,,,
Country Name,2009 [YR2009],100,100,100,44.7,38.89,44.39,87.94,89.81,89.35,88.84,6139.35,3.72,2040000,2.54,-1951523283,2.07E+11,26.2,1.93E+11,1.58E+11,96.11,64.43,31.84,68.41,21.93,43.37,,100.5,1.01,61.41,,,73.32,0.47,0,0,19.54,62.53,66.35,13100000,125.34,,,
Country Name,2010 [YR2010],100,100,100,45.05,39.97,44.77,88.95,90.78,91.18,89.92,6348.42,3.65,2260000,4.86,-4918465928,2.09E+11,26.6,1.93E+11,1.59E+11,96.94,68.82,30.88,66.68,21.36,43.31,,102.1,1,64.93,3200,305.51,73.26,0.2,0,0,21.61,65.93,71.77,12900000,123.6,,,
Country Name,2011 [YR2011],100,100,100,46.09,39.99,45.83,89.88,91.52,79.9,87.4,6298.73,3.61,2510000,1.82,-2592551186,2.30E+11,26.4,2.11E+11,1.59E+11,96.22,70.49,29.93,67.98,20.27,43.55,,100.54,1,66.8,4934,470.08,73.19,0.11,0,0,23.91,67.87,73.18,13200000,125.45,,,
Country Name,2012 [YR2012],100,100,100,48.03,42.11,47.83,89.9,92.42,90.32,90.74,6304.57,3.39,2660000,4.52,-6180626420,2.09E+11,26.1,1.95E+11,1.60E+11,95.24,73.43,31.27,69.84,20.95,43.76,,99.45,1,66.93,8773,834.67,73.2,0.16,0,0,25.29,72.4,74.48,13500000,128.64,,,
Country Name,2013 [YR2013],100,100,100,46.19,44.97,46.02,88.35,91.96,91.4,90.3,6284.79,3.37,2860000,3.48,379979406.5,2.12E+11,26.5,1.98E+11,1.61E+11,94.31,74.11,31.55,71.45,21.06,44.04,,98.72,1,66.32,11354,1079.87,73.29,0.16,0,0,27.17,72.95,75.3,13700000,130.48,,,
Country Name,2014 [YR2014],100,100,100,46.22,47.06,46.06,86.21,89.49,92.89,88.86,6258.89,3.46,2990000,3.86,-4014531794,2.09E+11,25.9,1.95E+11,1.66E+11,93.67,74.23,32.2,75.77,20.77,43.96,,99.31,1,67.4,14921,1417.63,73.38,0.23,0,0,28.48,71.47,74.35,13900000,132.29,,,
Country Name,2015 [YR2015],100,100,100,47.13,47.23,47,87.88,89.36,89.94,92.14,,3.52,2950000,0.9,2026234172,1.88E+11,25.9,1.75E+11,1.75E+11,94.06,75.67,32.48,75.63,20.63,44.19,,97.02,1.01,67.23,21607,2048.82,73.48,0.32,0,0,28,73.5,77.94,12500000,118.35,,,
Country Name,2016 [YR2016],100,100,100,48.01,47.82,47.88,91.24,92.69,92.36,94.56,,3.14,3070000,5.53,-7711369348,1.96E+11,25.4,1.83E+11,1.81E+11,92.37,76.48,31.98,75.68,21.48,44.32,,97.68,1.01,67.51,126705,11991.39,73.57,0.32,0,0,29.15,74.81,78.23,12500000,118.59,,,
Country Name,2017 [YR2017],100,100,100,47.8,48.24,47.67,90.2,92.04,92.98,91.24,,3.13,3150000,5.14,-1834383759,2.19E+11,24.9,2.06E+11,1.90E+11,92.48,78.72,31.65,76.21,21.32,44.44,,97.24,1.01,67.71,269310,25419.94,73.68,0.41,0,0,29.85,75.99,81.58,12600000,119.99,,,
Country Name,2018 [YR2018],100,100,100,48.21,48.22,48.08,89.25,88.51,83.38,87.39,,3.13,3220000,3.34,-2244655309,2.49E+11,25,2.35E+11,1.97E+11,94.06,80.69,30.41,76.96,21.03,44.58,,93.69,1,66.79,450120,42344.6,73.79,0.49,0,0,30.55,78.68,82.81,12700000,120.6,,,
Country Name,2019 [YR2019],100,100,100,49.19,50.49,49.08,88.45,89.01,87.88,89,,3.03,3740000,4.26,-5975777816,2.53E+11,25.3,2.37E+11,2.02E+11,94.01,80.87,29.71,76.24,22.48,44.53,,95.83,1.01,66.88,599619,56186.87,73.92,0.57,0,0,35.43,78.33,83.59,13100000,124.34,,,
Country Name,2008 [YR2008],100,100,100,32.03,25.71,31.89,91.79,95.81,95.47,94.73,6534.12,3.99,2010000,0.62,16554672838,3.53E+11,25.2,3.57E+11,2.91E+11,96.48,85.02,69.08,79.79,51.47,46.79,,98.85,1.02,74.86,,,86.49,0.81,0.1,0.1,36.51,83.58,86.45,6560000,119.16,,,
Country Name,2009 [YR2009],100,100,100,32.89,30.39,32.71,90.72,94.3,,94.15,6219.7,4.05,2020000,1.17,2390253594,3.21E+11,26.7,3.24E+11,2.75E+11,95.5,86.84,67.86,78.61,50.19,47.07,,98.47,1.01,73.11,,,86.65,0.73,0.5,0.1,36.62,85.77,87.91,6830000,123.65,,,
Country Name,2010 [YR2010],100,100,100,31.08,26.01,30.9,89.25,90.79,97.21,92.93,6327.51,3.72,2110000,-3.65,11194035264,3.22E+11,27.2,3.27E+11,2.86E+11,93.05,88.72,63.97,78.05,47.72,47.07,,99.31,1.01,72.5,8810,1588.05,86.8,0.61,0.1,0,38.08,88.19,89.24,6420000,115.67,,,
Country Name,2011 [YR2011],100,100,100,32.38,27.47,32.22,94.65,93.56,98.1,96.33,6165.97,3.72,2140000,3.94,-435906393,3.44E+11,27.3,3.51E+11,2.89E+11,93.61,89.81,63.36,78.68,46.33,47.17,,101.05,1.01,75.93,13192,2368.16,86.96,0.6,0,0,38.47,88.78,90.84,7170000,128.64,,,
Country Name,2012 [YR2012],100,100,100,33.89,28.69,33.75,89,92.15,92.26,91.05,6038.55,3.66,2180000,-5,5411285381,3.27E+11,27.8,3.35E+11,2.91E+11,93.98,92.26,60.99,78.47,44.77,47.35,,99.65,1,77.75,17135,3064.43,87.14,0.59,0,0,38.98,91.5,93.03,7290000,130.21,,,
Country Name,2013 [YR2013],100,100,100,31.54,27.74,31.38,89.45,91.02,,93.66,6039.43,3.61,2270000,0.2,6327998759,3.44E+11,28.5,3.54E+11,2.98E+11,93.39,94.63,58.12,77.59,43.2,47.56,,99.01,1.01,80.42,19419,3458.46,87.29,0.59,0.3,0.2,40.47,94.33,94.92,7030000,124.99,,,
Country Name,2014 [YR2014],100,100,100,31.91,27.1,31.77,89.45,91.02,96.88,93.64,5858.8,3.62,2340000,1.86,3342265730,3.53E+11,28.4,3.66E+11,3.06E+11,93.04,95.99,58.27,77.06,43.25,47.18,,100.15,1.02,81.31,24548,4349.8,87.41,0.64,0.2,0.1,41.49,96.15,95.84,7160000,126.72,,,
Country Name,2015 [YR2015],100,100,100,35.3,31.1,35.18,,,,,,3.68,2400000,0.61,5642339768,3.03E+11,28.2,3.12E+11,3.12E+11,93.21,96.33,58.45,77.21,42.54,46.88,,99.58,1.02,83.3,34129,6004.94,87.53,0.84,0.2,0.1,42.31,96.44,96.22,7080000,124.68,,,
Country Name,2016 [YR2016],100,100,100,40.02,35.22,39.9,90.28,93.79,87.84,91.32,,3.57,2460000,2.49,10094434247,3.13E+11,28.2,3.21E+11,3.19E+11,93.32,96.97,59.54,76.8,43.56,47.29,,101.49,1.01,82.17,137709,24041.33,87.64,0.91,0.3,0.2,42.97,97.53,96.41,6990000,122.4,,,
Country Name,2017 [YR2017],100,100,100,39.68,34.72,39.57,90.24,93.77,95.21,93.43,,3.38,2510000,1.09,6536057843,3.32E+11,28.7,3.39E+11,3.27E+11,92.82,97.1,60.38,76.9,43.24,47.26,,101.68,1,81.32,252263,43757.83,87.76,0.77,0.1,0.1,43.57,97.16,97.04,7140000,124.46,,,
Country Name,2018 [YR2018],100,100,100,42.32,36.64,42.22,89.79,93.34,95.14,93.33,,3.21,2540000,2.46,-2434129012,3.57E+11,28.2,3.67E+11,3.35E+11,93.86,97.32,60.07,76.83,42.64,47.12,,100.41,1,81.14,713512,123154.44,87.87,0.63,0.2,0.1,43.77,97.23,97.41,7220000,125.14,,,
Country Name,2019 [YR2019],100,100,100,42.48,35.08,42.39,89.86,92.34,95.65,93.23,,3.4,2540000,-1.1,9775759923,3.46E+11,27.7,3.57E+11,3.40E+11,92.93,98.05,61.13,77.2,43.23,47.03,,100.63,1,81.69,1612517,277330.58,87.99,0.49,0.3,0.2,43.62,98.06,98.03,7240000,124.98,,,
Country Name,2008 [YR2008],57.4,40.9,62.3,16.97,11.16,10.78,,,,,,2.82,2450,22.79,-227654582.2,999105339.3,,1031814867,,,2.26,,,,25.63,,,0.85,2.91,,,76.9,2.08,,,0.27,,,112848,12.78,,,
Country Name,2009 [YR2009],57.6,39.2,63.1,21.25,10.96,11.94,,,,,,2.83,5290,9.23,-96859684.56,1049110685,,1070790734,,,4,,,,26.23,,,0.91,3.66,,,76.94,2.1,,,0.58,,,128776,14.29,,,
Country Name,2010 [YR2010],57.9,37.5,64,25.13,10.68,14.07,,,,,,2.83,8060,3.23,-36501032.52,1128611700,,1145970369,,,6.5,,,,26.8,,,,3.65,4,4.35,77,2.06,,,0.87,,,165613,18.02,,,
Country Name,2011 [YR2011],58.1,35.8,64.8,22.48,10.79,11.21,,,,,,2.82,11300,6.38,-79000230.7,1239144502,,1247888544,,,7,,,,27.11,,,1.01,5.21,6,6.4,77.06,1.98,,,1.19,,,193049,20.61,,,
Country Name,2012 [YR2012],54.6,22.1,64.2,20.68,11.87,10.82,,,,,,2.84,14900,8.13,-109998255.7,1353632942,45.1,1417840323,,,9.4,,,,27.38,,,0.99,,1,1.05,77.14,1.95,19.7,8.4,1.54,,,212468,22.26,,,
Country Name,2013 [YR2013],58.6,32.5,66.4,8.97,11,4.02,,,,,,2.82,17700,14,-286004467.7,2042817163,44.1,2051480180,2115156907,134.92,12.7,,,,27.6,,,0.98,,4,4.12,77.22,1.92,24.9,8.4,1.8,,,244123,25.12,,,
Country Name,2014 [YR2014],58.9,30.8,67.1,6.87,13.45,2.22,68.01,93.73,,,,2.82,20100,6.91,-152998238.8,2214679081,,2263292357,2304132919,82.62,17,,,,27.83,,,1,,8,8.09,77.31,1.89,,,2,,,287049,29.02,,,
Country Name,2015 [YR2015],59.1,29.1,67.9,7.69,13.7,3.18,,77.79,,,,2.81,24200,5.93,-143832186.4,2424391785,,2500358047,2500358047,77.52,22.9,,,,28.09,,,1.01,,10,9.94,77.42,1.85,,,2.37,,,314350,31.24,,,
Country Name,2016 [YR2016],59.8,29.5,68.6,10.24,13.79,4.5,97.03,72.45,,,,2.81,24300,6.14,-159997974.4,2604955229,,2640882328,2633194978,105.54,30.8,,,,28.25,,,1.01,,11,10.75,77.53,1.82,,,2.34,,,345246,33.74,,,
Country Name,2017 [YR2017],60.2,,70,7.56,14.28,2.62,,,,,,2.8,24400,5.97,-164929862,2762581334,41.6,2753515439,2730169726,105.77,55.68,14.78,70.79,28.64,28.49,,,1.03,,21,20.19,77.65,1.8,19.1,6.4,2.31,51.65,59.9,373052,35.86,,,
Country Name,2018 [YR2018],62.4,33.6,70.6,7.56,14.25,2.62,,,,,,2.79,25500,5.83,-170000000,2913466732,,2892833391,2849598977,87.16,58,,,,28.78,,,1.01,,36,34.05,77.78,1.78,,,2.38,,,395037,37.37,,,
Country Name,2019 [YR2019],64.7,40.3,71.6,7.39,14.25,2.53,,,,,,2.78,24400,5.67,-174999015.3,3088853639,,2994853639,2936486467,87.5,59.34,,,,29.04,,,1.02,,44,40.97,77.92,1.75,,,2.24,,,413866,38.54,,,
Country Name,2008 [YR2008],90.9,,,39.96,6.1,39.38,80.03,81.58,,,,,7000,12.27,-57127554.56,458188888.9,,439852814.8,,128.5,41.16,,,,,,96.64,1.01,,,,67.5,0.45,,,10.17,,,91000,132.3,,,
Country Name,2009 [YR2009],90.2,,,39.31,7.22,38.61,98.97,100,,,,,7300,11.61,-58106174.44,489074074.1,,475418518.5,,123.82,42.02,,,,,,93.09,1.04,,,,67.8,0.45,,,10.6,,,98500,143.2,,,
Country Name,2010 [YR2010],91.3,,,47.85,7.1,46.91,,,,,,,8310,11.57,-58690486.76,493825925.9,,484385185.2,,118,47.45,,,,,,89.71,1.03,,3,43.63,68.09,0.39,,,12.07,,,105567,153.54,,,
Country Name,2011 [YR2011],90.1,,,42.16,6.72,41.37,93.5,,,,,,8310,10.07,-52068894.58,501025925.9,,490477777.8,,115.28,48.6,,,,,,93.87,1.03,,5,72.74,68.39,0.41,,,12.03,,,108924,158.45,,,
Country Name,2012 [YR2012],93.5,,,41.21,7.02,40.29,100,100,,100,,,8500,11.59,-57930574.23,485996296.3,,476466666.7,,118.83,49.8,,,,,,99.14,,,14,203.23,68.69,0.64,,,12.3,,,109300,158.66,,,
Country Name,2013 [YR2013],94.6,,,45.22,6.45,44.24,,,,,,,10700,7.76,-34258318,498296296.3,,478788888.9,,110.07,51,,,,,,96.08,,,12,174.37,68.98,0.33,,,15.3,,,93575,135.97,,,
Country Name,2014 [YR2014],95.7,,,42.09,5.12,41.8,,,,,,,10800,2.37,-14096986.88,520429629.6,,504200000,,112.62,57.5,,,,,,103.02,1,,16,230.64,69.28,1.23,,,15.33,,,73886,106.51,,,
Country Name,2015 [YR2015],96.7,,,44.48,8.13,44.34,89.97,100,,,,,15200,1.32,-18664593.25,540737037,,518644444.4,518644444.4,113.14,65,,,,,,96.69,0.99,,19,271.4,69.58,1.34,,,21.53,,,77254,110.35,,,
Country Name,2016 [YR2016],97.8,,,51.66,13.53,51.55,,,,,,,15500,7.33,-41382233.85,576229629.6,,555762963,,112.52,67.03,,,,,,101.21,,,382,5451.3,69.88,0.53,,,22.25,,,78444,111.94,,,
Country Name,2017 [YR2017],98.9,,,52.09,14.31,51.99,,,,,,,15400,4.35,-23740834.32,521551851.9,,524748148.1,,120.55,69.62,,,,,,,,,498,7073.56,70.18,0.9,,,22.52,,,75230,106.86,,,
Country Name,2018 [YR2018],99.6,,,38.55,28.24,38.48,,,,,,,11500,14.11,-78227491.58,554770370.4,,556177777.8,,147.83,,,,,,,,,,475,6706.86,70.48,1.02,,,16.89,,,76820,108.47,,,
Country Name,2019 [YR2019],99.9,,,39.47,21.37,39.47,,,,,,,15200,10.31,-62985652.69,611537037,,602040740.7,,,73.38,,,,,,82.91,0.99,,705,9870.08,70.79,1.28,,,22.4,,,78132,109.39,,,
Country Name,2008 [YR2008],97.6,92.6,99.6,17.56,32.19,13.44,82.33,83.77,,,1368.48,4.52,239000,5.67,-2870000000,48122601530,48.1,46374384200,49363633512,113.58,20.82,42,81.88,52.89,35.83,,,1.03,,,,71.3,3.09,5.4,1.4,2.5,,,7210000,75.72,,,
