Country Name,Attribute,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Communications, computer, etc. (% of service imports, BoP)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Fixed broadband subscriptions,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net (BoP, current US$)",GDP (current US$),Gini index,GNI (current US$),GNI (constant 2015 US$),Gross national expenditure (% of GDP),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, total (%) (national estimate)",Labor force with advanced education (% of total working-age population with advanced education),Labor force with basic education (% of total working-age population with basic education),"Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, total (% of relevant age group)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Secure Internet servers,Secure Internet servers (per 1 million people),Urban population (% of total population),Urban population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Fixed broadband subscriptions (per 100 people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Column1,Data from database: World Development Indicators,Last Updated: 11/13/2024
Country Name,2013 [YR2013],99.9,99.8,99.9,12.65,22.44,9.95,,90.16,85.18,91.41,2533.25,1.74,183000,9.82,-1225674342,12776224497,,12996543353,11132894273,119.11,51.8,27.57,73.43,46.48,41.85,,91.12,0.98,63.84,103,35.58,55.39,1.74,,,6.28,,,3690000,127.67,,,
Country Name,2014 [YR2014],100,99.9,100,10.66,22.27,8.92,,,,,2309.37,1.95,208000,8.69,-1074294190,13228147516,34.6,13349419700,11243215091,117.91,54.3,28.96,74.38,47.07,41.2,,105.69,0.98,65.55,151,52.27,56.42,1.65,1,0.1,7.16,,,3360000,116.49,,,
Country Name,2015 [YR2015],100,100,100,11.12,23.85,9.89,93.7,88.28,90.8,91.95,,2.36,243000,8.69,-910256726,11386853113,32.8,11521811394,11521811394,117.62,56.9,31.3,73.27,49.37,42.5,,98.79,0.98,61.96,197,68.39,57.43,1.48,0.1,0,8.38,,,3400000,117.99,,,
Country Name,2016 [YR2016],99.9,99.7,100,13.36,27.04,10.32,,87.24,,91.64,,2.7,266000,8.81,-1037328978,11861199831,33.7,12053832974,11951741965,117.45,59.6,31.65,74.13,51.27,43.58,,99.6,0.99,58.49,416,144.64,58.42,1.54,0.1,0,9.19,,,3370000,116.96,,,
Country Name,2017 [YR2017],99.9,99.7,100,15.44,30.51,10.21,93.44,85.97,92.25,91.7,,2.98,304000,7.86,-1128922245,13019726212,33.1,13051517644,12244490188,116.16,62.4,31.62,73.23,52.05,42.87,98.82,106.45,1,58.02,1273,443.02,59.38,1.54,0.4,0,10.48,,,3630000,125.92,,,
Country Name,2018 [YR2018],100,100,100,13.73,29.85,9.16,99.15,85.36,89.85,93.88,,3.29,362000,7.95,-1208920406,15156424015,30.1,15137984851,12691888499,114.3,65.4,35.69,72.1,54.21,43.39,,102.89,1.02,56.08,1508,526.1,60.32,1.32,0,0,12.51,,,2710000,94.36,,,
Country Name,2019 [YR2019],100,100,100,13.34,30,9.86,88.98,79.09,88.96,86.84,,3.07,436000,7.8,-1161056359,15401826127,30.1,15200244588,12808216512,114.36,68.55,36.59,75.47,55.18,43.94,,98.72,1.02,61.41,2190,767.29,61.23,1.07,0,0,15.12,65.96,71.16,2630000,91.52,,,
Country Name,2008 [YR2008],99.3,97.9,100,64.41,53.19,62.36,,,,,951.7,4.32,485000,1.46,-2320754664,1.80E+11,,1.79E+11,1.51E+11,79.73,10.18,,,,16.07,75,115.88,0.99,,,,66.1,2.85,,,1.39,,,27000000,78.19,,,
Country Name,2009 [YR2009],98.8,97.4,99.5,68.78,53.7,67.45,,,,,869.7,4.01,818000,1.83,-2532507565,1.50E+11,,1.49E+11,1.53E+11,99.11,11.23,28.25,,,16.38,,97,0.98,30.76,,,66.83,2.89,,,2.3,,,32700000,92.99,,,
Country Name,2010 [YR2010],98.9,97.5,99.6,67.52,62.94,66.5,,,,,1020.07,3.72,900000,1.29,-2081136054,1.78E+11,,1.78E+11,1.61E+11,93.51,12.5,28.19,,,16.54,,98.13,0.99,30.98,13,0.36,67.54,2.92,,,2.49,,,32800000,91.42,,,
